iter	Passed	Remaining
0	0	71
1	1	62
2	1	59
3	2	56
4	2	56
5	3	57
6	4	56
7	4	54
8	5	54
9	5	53
10	6	52
11	6	51
12	7	50
13	8	49
14	8	48
15	9	47
16	9	47
17	10	46
18	10	45
19	11	44
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	40
26	14	40
27	15	39
28	16	39
29	16	38
30	17	38
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	34
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	25	29
46	25	28
47	26	28
48	26	27
49	27	27
50	28	26
51	28	26
52	29	26
53	29	25
54	30	24
55	31	24
56	31	23
57	32	23
58	33	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
